peilstijging,03150-01,03150-02,03150-03,03150-04,03150-05,03150-06,03150-07,03150-08,03150-09,03150-10,03150-11,03150-12,03150-13,03150-16,03150-17,03150-18,03150-19,03150-20,03150-21,03150-22,03150-23,03150-24,03150-25,03150-26,03150-27,03150-28,03150-29,03150-30,03150-31,03150-32,03150-34,03150-35,03150-36,03150-37,03150-38,03150-39,03150-40,03150-41,03150-42,03150-43,03150-44,03150-45,03150-46,03150-47,03150-48,03150-49
0,17,0,0,4,2,9,0,3,0,59,1,1,0,0,0,0,0,0,139,26,0,116,7,24,49,0,1,0,3,1,14,0,0,0,0,0,79,39,0,2,0,15,3,0,2,6
0.1,24,0,0,61,33,930,0,10,0,829,3,11,16,1,0,0,0,0,398,83,0,163,10,87,543,0,1,0,4,3,61,0,2,0,0,0,235,41,16,4,1,18,3,2,2,14
0.2,33,0,0,141,114,2207,0,21,0,1745,7,44,70,2,0,0,1,16,716,233,0,235,23,221,724,1,1,0,4,8,328,37,5,1,0,1,461,49,52,6,8,26,5,11,2,23
0.3,48,1,0,295,271,3114,0,44,0,3384,11,85,134,7,1,2,6,69,1002,437,0,305,40,24573,870,2,1,0,5,13,594,101,9,8,1,34,1010,7466,124,12,21,40,38,30,3,31
0.4,88,67,0,570,464,4014,0,163,0,10118,49,118,184,15,3,4,14,112,1316,778,2,391,55,420441,1004,4,2,1,7,25,791,149,12,491,2,132,3655,14133,289,45,65,65,125,54,5,39
0.5,1299,142,0,945,622,5174,0,1152,0,27135,74,128,228,24,4,7,21,140,1698,3625,5,494,75,781044,1229,41,4,13,42,57,945,170,20,1493,4,329,12136,20440,765,151,113,101,488,120,10,49
0.6,3026,223,0,1940,919,8062,1,6605,0,240912,89,151,265,42,5,11,28,167,2488,7470,7,3260,96,1111877,1458,410,7,37,127,130,1429,186,183,2744,12,813,35202,93857,2990,458,168,133,896,875,21,71
0.7,22070,406,0,5021,1801,13124,1,1154565,2814,572968,101,1100,317,59,6,1114,36,2030,14380,23987,9,22554,114,1379029,2085,283845,13,59,193,250,4565,211,3344,4611,49,1810,145786,181688,8700,1382,6895,620,1067,8899,46,127
0.8,28735,559,0,22665,8163271,34156,3,2415728,5576452,1948136,111,42939,460,70,15,4365,52,3700,93601,137350,11,98672,139,1587444,4333,383197,21,80,221,290,42033,3043,14887,6985,70,2927,358564,241726,26082,6361,9051,2543,1126,20844,109,292
0.9,54931,747,0,108491,8941027,155749,5,3641409,6481185,2781001,121,721426,7502,75,24,6596,406,4408,666478,566580,41,204750,249,1823296,20614,427257,65,90,239,307,520226,487119,33774,10697,79,3916,609096,301336,66765,15078,9559,5688,1164,26610,295,1894
1,85655,1087,0,315100,9222367,585886,13,4779684,6528243,37483184,130,992735,315139,80,43,20118,6716,5015,1818782,1159450,173,302395,2117,2286441,53769,446557,139,96,257,324,1028073,541463,175724,18487,84,4520,886227,400299,655559,56432,9782,6381,1195,35082,673,4083
1.1,98689,3834,0,486102,35639684,6445179,29,7696393,7152059,63800008,139,1072504,48840996,87,56,23365,9540,15094,3481491,1844220,276,453705,52047,3057546,376230,517348,178,104,279,339,1155365,556378,401857,42678,86,4858,1074261,561363,1273469,70711,10563,8413,1219,36437,890,8337
1.2,121285,13593,1,636390,110285960,50073904,1105,8935975,7641010,75312064,148,9307078,57900976,93,62,38919,44154,39314,4576020,6265452,308,983707,594762,6778028,1049519,597935,215,111,294,350,1276400,664565,555557,111730,87,4986,1561160,708988,1784478,160654,11349,10141,1236,36817,1373,188844
1.3,226035,36733,1,1030959,149444080,76082720,8828,9987608,8150539,113289112,157,24336316,60424580,97,69,41031,277883,50635,6644496,8888131,326,1706219,1808464,14822285,1731321,685273,240,117,312,360,2076803,807400,1543241,565170,88,5042,1887952,902333,2634259,290672,12140,11815,1253,37627,2176,286374
1.4,260539,65918,1,2026281,170809488,86950880,58640,11196694,8629453,136830944,169,27981694,64649624,101,80,42465,2356834,60792,64639236,22014355,343,3409104,3329761,38396977,3704490,803878,256,124,343,368,3114483,924408,1759930,1069513,89,5052,2171700,1253783,3567673,359633,12931,13393,1271,38529,2894,321225
1.5,302361,366466,1,3720655,183004288,103222048,146786,12433055,9093685,176645504,189,29252988,71994928,107,108,44851,5249965,67928,82666152,25155308,351,26369440,9433767,74718857,8429298,936377,271,130,385,376,4240077,1131412,1859176,1374722,90,5055,2417720,1609231,4045369,377269,13722,15539,1287,39391,3378,587679
1.6,357815,492492,1,5423354,195962112,122793664,280100,13698208,9561224,278453184,208,31508652,96051272,116,180,48269,13119901,111688,109248736,28787760,358,61593896,9998494,135905522,12395656,1133292,282,137,440,385,6242151,1300926,2046035,1944114,91,5055,2658858,1932866,4618224,405906,14511,51544,1301,40242,3729,773245
1.7,419058,624245,1,6574208,212721536,139400736,303819,14971309,10037260,412820928,231,33605820,103474896,123,258,134225,14261764,1437547,125810320,32773439,363,167856000,10292343,195884772,13662256,1455419,296,146,537,394,7753940,1466875,2276870,2888660,94,5055,2963410,2344255,5238122,451198,15295,157865,1314,41082,4023,959695
1.8,499199,714821,1,7909043,229957600,150317904,314414,16229919,10513339,519032480,260,35729708,108600744,134,305,750743,15254387,2865958,174987424,35946656,369,220437648,10974251,243174298,14851437,1630878,313,167,739,409,8927383,1571211,2494528,4670798,96,5056,3253915,2627183,5854096,504274,16080,1021235,1324,41910,4337,1015508
1.9,569679,785117,1,8969269,249371280,159676576,349121,17487268,10989413,609730112,311,37820792,114294960,151,335,4756576,16615183,5027329,186477680,38822779,377,272169472,11644769,272374289,16069849,1747037,332,214,1226,447,12751552,1691200,2695404,7197394,99,5056,3509540,2886884,6530191,555791,16864,8967907,1333,42731,4673,1123435
2,678400,884061,1,9861085,266732608,169465040,380263,18751128,11465484,673568000,548,39891620,120492296,174,360,5141152,18545088,28345268,197599024,41826302,387,305468480,12389740,303398713,17292016,1898678,357,331,2243,527,14968907,1847941,2900897,11192666,102,5056,3770496,3186022,7355715,641418,17650,26182198,1342,43549,4987,1230690
2.1,1969245,977598,1,11620088,282910304,179418992,410690,20014982,11941552,741249472,1027,41972156,126699536,218,385,5199589,21032520,38478468,213672544,45032262,393,321506336,13073457,336036384,18558218,2067328,392,563,4020,735,16453603,2017044,3110188,21204744,115,5057,4042735,3495544,8252172,702871,18437,80595088,1350,44366,5280,1322965
2.2,2218262,1068585,1,12609642,299536960,189475872,441620,21278864,12417619,810068544,1388,44068552,132966648,317,410,5449308,30421850,41607092,230011408,48161161,395,337380608,13746644,368553093,19904304,2236284,488,861,5833,1175,17844394,2484134,3321450,29397140,186,5057,4314974,3805436,9024508,750395,19223,117043424,1360,45184,5562,1420869
2.3,2299686,1196732,1,13572294,316567648,199520032,472623,22542748,12893688,881483136,1651,46164944,139185152,537,436,5756951,36397524,45674032,242866480,51171557,396,355347008,14421873,401456969,21167280,2405192,826,1159,7112,58152,19289742,2983966,3533450,32572974,305,5057,4587211,4115338,9769334,805292,20009,159569760,1370,46002,5844,1522457
2.4,2412141,1328143,1,14580275,333513920,209630576,503625,23806634,13369756,953550144,1858,48261328,145437856,875,463,6067651,38433728,62331080,255401696,54222911,396,373866848,15099785,434717132,22399996,2574128,1526,1431,8032,70185,20752278,3235875,3743606,36089895,461,5057,4859449,4425243,10549650,862859,20796,169038480,1380,46819,6128,1624043
2.5,2571930,1428749,1,15560252,350469696,219712256,534628,25070522,13845824,1024857024,2058,50357708,151668288,1086,490,6375629,43156632,77496224,268686400,57382518,397,392405568,15777462,468115504,23657418,2743079,2319,1699,8777,73612,23039110,3506175,3953115,40990628,621,5058,5131685,4735149,11598838,920430,21584,177922368,1391,47635,6412,1725630
